FORMATION,BIT SIZE (in),TMD (m),TVD (m),ROP (m/hr),WOB (ton),FR (gpm),SPP (psi),RPM (rpm),TQ (lb*ft),MW IN (ppg),MW OUT (ppg),RETURN (%),BIT TIME (hr),DATE TIME
Mio,24,18,18.02,25.6,2,152.4,10,62,1363,8.7,8.7,0,0.04,28/07/2010 12.17.20
Mio,24,19,19,35.5,2,152.2,10,57,649,8.7,8.7,0,0.11,28/07/2010 12.21.35
Mio,24,20,19.5,20.6,2,114.3,8,43,0,8.7,8.7,0,0.17,28/07/2010 12.46.54
Mio,24,21,19.5,20.1,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,22,19.5,19.9,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,23,19.5,23.7,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,24,19.5,20.4,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,25,19.5,23.8,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,26,19.5,24.4,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,27,19.5,24.8,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,28,19.5,24.2,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,29,19.5,20,2,152.3,10,58,0,8.7,8.7,0,0.17,28/07/2010 12.25.31
Mio,24,30,30.02,21.9,2,153.7,10,59,1,8.7,8.7,0,0.38,28/07/2010 13.20.38
Mio,24,31,31,11,2,157.9,10,58,0,8.7,8.7,0,0.52,28/07/2010 13.28.59
Mio,24,32,32,13.2,2,158.2,10,58,1,8.7,8.7,0,0.7,28/07/2010 13.39.48
Mio,24,33,33,18.7,2,158.3,10,57,4,8.7,8.7,0,0.79,28/07/2010 13.45.14
Mio,24,34,34.01,25.6,2,158.2,10,67,0,8.7,8.7,0,0.83,28/07/2010 13.47.55
Mio,24,35,35.01,26.4,2,158.2,10,67,4,8.7,8.7,0,0.87,28/07/2010 13.50.14
Mio,24,36,36.01,25.5,2,158.2,10,67,11,8.7,8.7,0,0.91,28/07/2010 13.52.38
Mio,24,37,36.26,24.9,2,158.2,10,67,32,8.7,8.7,0,0.92,28/07/2010 13.53.14
Mio,24,38,38.01,22.7,2,158.2,10,67,8,8.7,8.7,0,0.96,28/07/2010 13.55.48
Mio,24,39,39.01,21.9,3,158.2,10,67,40,8.7,8.7,0,1.01,28/07/2010 13.58.48
Mio,24,40,40.01,31.4,2,154.9,10,66,339,8.7,8.7,0,1.08,28/07/2010 15.06.39
Mio,24,41,41.01,30.6,3,154,10,71,1025,8.7,8.7,0,1.11,28/07/2010 15.08.42
Mio,24,42,42.02,29.9,3,165.4,10,71,1420,8.7,8.7,0,1.15,28/07/2010 15.10.52
Mio,24,43,43.01,29.6,3,185.7,10,71,1194,8.7,8.7,0,1.18,28/07/2010 15.13.07
Mio,24,44,44,23.3,2,185.8,10,66,113,8.7,8.7,0,1.24,28/07/2010 15.16.46
Mio,24,45,45.01,17.1,3,186,10,49,133,8.7,8.7,0,1.32,28/07/2010 15.21.21
Mio,24,46,46,19.7,4,185.9,10,49,238,8.7,8.7,0,1.37,28/07/2010 15.24.24
Mio,24,47,47.01,21.6,3,185.9,10,50,54,8.7,8.7,0,1.42,28/07/2010 15.27.26
Mio,24,48,48.01,24.5,5,186.1,10,50,938,8.7,8.7,0,1.46,28/07/2010 15.29.58
Mio,24,49,49.01,26.1,3,185.9,10,69,188,8.7,8.7,0,1.51,28/07/2010 15.32.34
Mio,24,50,50.01,26.9,4,186,10,69,369,8.7,8.7,0,1.55,28/07/2010 15.34.55
Mio,24,51,51.01,32.4,6,186,10,69,1249,8.7,8.7,0,1.58,28/07/2010 15.36.56
Mio,24,52,52.01,29,3,186,10,69,1397,8.7,8.7,0,1.62,28/07/2010 15.39.05
Mio,24,53,53.03,26.9,2,185.9,10,69,1444,8.7,8.7,0,1.63,28/07/2010 15.40.07
Mio,24,54,54.03,67.1,2,186,10,69,1567,8.7,8.7,0,1.66,28/07/2010 15.41.38
Mio,24,55,54.51,32,2,186.2,10,70,101,8.7,8.7,0,1.67,28/07/2010 15.42.21
Mio,24,56,56.02,23.2,2,185.7,10,69,1479,8.7,8.7,0,1.7,28/07/2010 15.44.20
Mio,24,57,57.02,19.2,2,186.2,10,69,901,8.7,8.7,0,1.72,28/07/2010 15.45.02
Mio,24,58,58.03,23,2,185.8,10,69,172,8.7,8.7,0,1.73,28/07/2010 15.45.54
Mio,24,59,59.04,25.8,2,187.4,10,61,72,8.7,8.7,0,2.13,28/07/2010 17.57.37
Mio,24,60,60.14,48.1,2,190.2,10,26,0,8.7,8.7,0,2.13,28/07/2010 17.57.51
Mio,24,61,61.19,50,2,190.3,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.57.58
Mio,24,62,62.21,50,2,190.2,10,24,0,8.7,8.7,0,2.14,28/07/2010 17.58.04
Mio,24,63,63.18,50,2,190.2,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.58.10
Mio,24,64,64.18,50,2,190.3,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.58.16
Mio,24,65,65.31,50,2,190.2,10,26,0,8.7,8.7,0,2.14,28/07/2010 17.58.27
Mio,24,66,66.03,50,2,190.3,10,26,0,8.7,8.7,0,2.15,28/07/2010 17.58.39
Mio,24,67,67,30.6,3,190.3,10,72,1252,8.7,8.7,0,2.19,28/07/2010 18.01.31
Mio,24,68,67,16.3,4,190.3,10,73,2763,8.7,8.7,0,2.19,28/07/2010 18.01.31
Mio,24,69,69.01,29,4,190.4,10,69,1722,8.7,8.7,0,2.24,28/07/2010 18.04.04
Mio,24,70,70.02,31.3,3,190.4,10,71,1895,8.7,8.7,0,2.27,28/07/2010 18.06.16
Mio,24,71,71.01,37.4,2,190.4,10,65,2756,8.7,8.7,0,2.31,28/07/2010 18.08.26
Mio,24,72,72.01,30.6,2,190.4,10,71,2416,8.7,8.7,0,2.34,28/07/2010 18.10.26
Mio,24,73,72.76,30.6,2,190.3,10,71,2282,8.7,8.7,0,2.37,28/07/2010 18.11.56
Mio,16,74,74.01,26.7,5,393.3,538,90,3435,8.9,8.9,39,0.69,30/07/2010 06.37.10
Mio,16,75,75.01,22.4,4,393.3,535,91,2974,8.9,8.9,37,0.76,30/07/2010 06.41.02
Mio,16,76,76.01,19.3,4,565.5,537,74,3002,8.9,8.9,37,0.87,30/07/2010 09.38.29
Mio,16,77,77.02,23.3,6,782.2,546,53,4276,8.9,8.9,35,0.91,30/07/2010 09.41.13
Mio,16,78,78.01,15.8,2,781.8,544,59,1118,8.9,8.9,35,0.98,30/07/2010 09.45.31
Mio,16,79,79.02,25.7,2,781.5,541,91,1629,8.9,8.9,35,1.03,30/07/2010 09.48.10
Mio,16,80,80,19.3,2,781.8,546,79,1601,8.9,8.9,35,1.09,30/07/2010 09.51.38
Mio,16,81,81,26.8,2,782.7,549,52,2188,8.9,8.9,35,1.18,30/07/2010 09.57.04
Mio,16,82,82.01,31.6,2,782.6,548,81,72,8.9,8.9,35,1.21,30/07/2010 09.59.05
Mio,16,83,83.01,29.5,3,782.8,550,82,681,8.9,8.9,35,1.25,30/07/2010 10.01.14
Mio,16,84,84.01,20.5,5,772.4,555,59,1735,8.9,8.9,35,1.32,30/07/2010 10.50.18
Mio,16,85,85.02,26.7,4,783.3,588,75,979,8.9,8.9,35,1.37,30/07/2010 10.53.35
Mio,16,86,86.01,30.2,2,783.6,588,76,714,8.9,8.9,35,1.41,30/07/2010 10.55.50
Mio,16,87,87,30.3,4,784,591,76,1520,8.9,8.9,35,1.45,30/07/2010 10.58.07
Mio,16,88,88.01,37.8,2,784.2,591,77,387,8.9,8.9,34,1.48,30/07/2010 10.59.50
Mio,16,89,89.02,43.1,1,784.4,593,69,246,8.9,8.9,34,1.5,30/07/2010 11.01.20
Mio,16,90,90.01,37,4,784.6,594,74,1106,8.9,8.9,35,1.53,30/07/2010 11.03.02
Mio,16,91,91.01,32.3,3,772.1,573,77,1066,8.9,8.9,35,1.6,30/07/2010 11.07.29
Mio,16,92,92.01,19.7,2,767,566,76,593,8.9,8.9,34,1.68,30/07/2010 11.12.00
Mio,16,93,93.01,27.2,1,767.2,565,76,121,8.9,8.9,34,1.72,30/07/2010 11.14.31
Mio,16,94,94.01,37.7,1,767.4,564,77,27,8.9,8.9,34,1.75,30/07/2010 11.16.26
Mio,16,95,95.01,33.7,0,768.1,570,45,1531,8.9,8.9,35,1.81,30/07/2010 11.20.01
Mio,16,96,96.01,20.2,0,755.2,548,37,1654,8.9,8.9,35,1.92,30/07/2010 11.26.21
Mio,16,97,97.01,22.1,3,755.5,549,37,3043,8.9,8.9,34,1.98,30/07/2010 11.30.03
Mio,16,98,98.01,17.7,4,755.1,548,67,3907,8.9,8.9,34,2.04,30/07/2010 11.33.48
Mio,16,99,99,17.8,4,755.1,549,70,4436,8.9,8.9,34,2.11,30/07/2010 11.38.10
Mio,16,100,100.01,19.5,4,755.8,550,54,1977,8.9,8.9,34,2.19,30/07/2010 11.42.36
Mio,16,101,101.01,45.1,1,775.7,637,63,212,8.9,8.9,35,2.23,30/07/2010 13.06.08
Mio,16,102,102.02,47.4,0,780.7,664,73,0,8.9,8.9,34,2.25,30/07/2010 13.07.26
Mio,16,103,103.01,39.1,2,781,662,73,1275,8.9,8.9,35,2.29,30/07/2010 13.10.13
Mio,16,104,104.01,19.2,0,781.4,660,43,2721,8.9,8.9,35,2.36,30/07/2010 13.14.06
Mio,16,105,105.01,22.5,1,781.6,659,54,159,8.9,8.9,35,2.41,30/07/2010 13.16.59
Mio,16,106,106.01,15,2,781.6,659,51,693,8.9,8.9,35,2.49,30/07/2010 13.22.06
Mio,16,107,107,30.2,1,781.9,658,50,2628,8.9,8.9,35,2.53,30/07/2010 13.24.29
Mio,16,108,108.01,26.5,2,781.7,660,32,3570,8.9,8.9,35,2.57,30/07/2010 13.27.04
Mio,16,109,109.02,31.3,2,781.9,659,45,1654,8.9,8.9,35,2.61,30/07/2010 13.29.13
Mio,16,110,110.02,37.8,0,781.8,658,43,357,8.9,8.9,35,2.64,30/07/2010 13.30.56
Mio,16,111,111.01,53.9,0,782,664,54,0,8.9,8.9,34,2.66,30/07/2010 13.32.06
Mio,16,112,112.02,39.6,0,781.9,663,47,17,8.9,8.9,34,2.68,30/07/2010 13.33.38
Mio,16,113,113.02,42.2,0,782.1,666,42,13,8.9,8.9,34,2.71,30/07/2010 13.35.05
Mio,16,114,114.01,20.2,2,782.2,662,39,1316,8.9,8.9,35,2.79,30/07/2010 13.40.25
Mio,16,115,115.02,34.4,0,782.3,660,29,120,8.9,8.9,35,2.83,30/07/2010 13.42.47
Mio,16,116,116.02,80.4,0,782.6,659,38,59,8.9,8.9,34,2.85,30/07/2010 13.43.47
Mio,16,117,117.05,113.9,0,782.4,661,48,0,8.9,8.9,34,2.86,30/07/2010 13.44.25
Mio,16,118,118.01,121.3,1,782.6,664,31,818,8.9,8.9,34,2.88,30/07/2010 13.45.36
Mio,16,119,119.02,51.6,0,783,665,24,617,8.9,8.9,34,2.9,30/07/2010 13.46.55
Mio,16,120,120.02,72.4,0,783,667,37,8,8.9,8.9,35,2.92,30/07/2010 13.47.57
Mio,16,121,121.04,73.8,0,783.2,668,24,317,8.9,8.9,35,2.94,30/07/2010 13.49.12
Mio,16,122,122.03,88.7,0,783.5,671,29,23,8.9,8.9,35,2.95,30/07/2010 13.49.59
Mio,16,123,123.05,90.9,0,783.6,674,29,214,8.9,8.9,35,2.97,30/07/2010 13.50.40
Mio,16,124,124.01,89.5,0,783.6,668,21,0,8.9,8.9,34,2.98,30/07/2010 13.51.24
Mio,16,125,125.01,81.9,0,781,686,24,905,8.9,8.9,34,3.18,30/07/2010 16.07.06
Mio,16,126,126.01,37.4,1,772.8,721,43,2869,8.9,8.9,34,3.23,30/07/2010 16.09.45
Mio,16,127,127.01,34.4,4,773,718,54,2919,8.9,8.9,34,3.27,30/07/2010 16.12.34
Mio,16,128,128.01,24.3,4,773,720,48,3269,8.9,8.9,34,3.32,30/07/2010 16.15.27
Mio,16,129,129.01,31,3,769.9,712,48,4168,8.9,8.9,34,3.36,30/07/2010 16.17.43
Mio,16,130,130.01,42.5,4,754.9,687,48,3466,8.9,8.9,34,3.38,30/07/2010 16.19.15
Mio,16,131,131.01,39.8,5,755.1,686,47,6608,8.9,8.9,34,3.41,30/07/2010 16.20.55
Mio,16,132,132.01,40.4,4,755.4,685,47,5558,8.9,8.9,34,3.44,30/07/2010 16.22.40
Mio,16,133,133,33.3,4,755.4,685,48,5659,8.9,8.9,34,3.47,30/07/2010 16.24.37
Mio,16,134,134.02,37.3,4,755.4,688,48,4522,8.9,8.9,34,3.5,30/07/2010 16.26.31
Mio,16,135,135,36,3,755.5,686,48,4570,8.9,8.9,34,3.55,30/07/2010 16.29.08
Mio,16,136,136.01,39.2,3,755.6,685,49,2454,8.9,8.9,34,3.58,30/07/2010 16.30.53
Mio,16,137,137.03,42.7,3,755.6,689,49,3037,8.9,8.9,34,3.62,30/07/2010 16.33.15
Mio,16,138,138.02,41.4,3,755.9,689,49,2081,8.9,8.9,34,3.67,30/07/2010 16.36.18
Mio,16,139,139.01,15.5,4,756.3,687,51,2796,8.9,8.9,35,3.76,30/07/2010 16.41.44
Mio,16,140,140.02,35.9,9,756.9,686,71,8364,8.9,8.9,34,3.79,30/07/2010 16.43.51
Mio,16,141,141.02,60.1,6,757.1,687,84,8400,8.9,8.9,35,3.81,30/07/2010 16.45.02
Mio,16,142,142.01,67.4,11,757.8,688,56,8261,8.9,8.9,23,3.85,30/07/2010 16.46.59
Mio,16,143,143.02,94.3,12,757.8,685,80,10599,8.9,8.9,30,3.87,30/07/2010 16.48.20
Mio,16,144,144,59.5,16,757.7,690,101,14083,8.9,8.9,32,3.91,30/07/2010 16.51.06
Mio,16,145,145.01,23.6,16,788.1,752,107,15176,8.9,8.9,33,3.97,30/07/2010 16.54.11
Mio,16,146,146.01,47.4,13,805,782,105,16121,8.9,8.9,33,3.99,30/07/2010 16.55.51
Mio,16,147,147.02,46.1,13,805.6,780,91,13445,8.9,8.9,34,4.02,30/07/2010 16.57.33
Mio,16,148,148.01,44.4,13,802.2,771,91,12973,8.9,8.9,34,4.05,30/07/2010 16.59.15
Mio,16,149,149.02,35.3,10,620.5,454,91,9767,8.9,8.9,29,4.09,30/07/2010 17.01.54
Mio,16,150,150.02,52.6,7,615.3,446,85,8156,8.9,8.9,30,4.12,30/07/2010 17.03.11
Mio,16,151,151.01,54,7,615.6,447,74,6282,8.9,8.9,29,4.14,30/07/2010 17.04.28
Mio,16,152,152.03,51.1,10,615.6,450,74,7048,8.9,8.9,29,4.16,30/07/2010 17.05.57
Mio,16,153,153.02,52.6,6,615.8,453,75,3931,8.9,8.9,27,4.18,30/07/2010 17.07.06
Mio,16,154,154.02,63.1,6,615.7,450,75,3942,8.9,8.9,27,4.2,30/07/2010 17.08.06
Mio,16,155,154.52,57.6,4,616.4,431,75,3061,8.9,8.9,28,4.21,30/07/2010 17.08.37
Mio,16,156,156.02,56,4,616,429,75,3001,8.9,8.9,28,4.21,30/07/2010 17.08.52
Mio,16,157,157.04,48.3,4,619.6,435,67,4154,8.9,8.9,28,4.26,30/07/2010 18.30.21
Mio,16,158,157.26,62.6,0,765.3,789,63,0,8.9,8.9,34,4.29,30/07/2010 18.31.56
Mio,16,159,157.26,53,0,765.3,789,63,0,8.9,8.9,34,4.29,30/07/2010 18.31.56
Mio,16,160,160.03,62.3,1,765.4,790,67,34,8.9,8.9,34,4.3,30/07/2010 18.32.22
Mio,16,161,161.04,66,1,765.6,787,71,14,8.9,8.9,33,4.31,30/07/2010 18.33.18
Mio,16,162,162.02,67.2,2,765.8,784,74,41,8.9,8.9,33,4.33,30/07/2010 18.34.12
Mio,16,163,163.02,70.7,1,765.8,787,75,2,8.9,8.9,32,4.34,30/07/2010 18.35.04
Mio,16,164,164.03,73.2,1,765.9,781,77,13,8.9,8.9,32,4.35,30/07/2010 18.35.55
Mio,16,165,165.02,74.9,1,766,784,76,170,8.9,8.9,31,4.37,30/07/2010 18.36.43
Mio,16,166,166.03,78.9,1,765.9,784,76,209,8.9,8.9,31,4.38,30/07/2010 18.37.30
Mio,16,167,167.01,76.6,2,766.1,779,76,809,8.9,8.9,31,4.39,30/07/2010 18.38.18
Mio,16,168,168.04,74.7,2,766.3,780,76,303,8.9,8.9,31,4.41,30/07/2010 18.39.09
Mio,16,169,169.02,76.7,1,766.1,781,76,14,8.9,8.9,31,4.42,30/07/2010 18.39.57
Mio,16,170,170.04,74.5,2,766.4,777,76,83,8.9,8.9,31,4.44,30/07/2010 18.40.47
Mio,16,171,171.01,76,2,766.4,762,69,210,8.9,8.9,32,4.46,30/07/2010 18.42.32
Mio,16,172,172.01,28.6,7,754.9,715,83,1787,8.9,8.9,33,4.51,30/07/2010 18.45.13
Mio,16,173,173.01,28.5,10,714,632,85,1983,8.9,8.9,32,4.56,30/07/2010 18.48.17
Mio,16,174,174.02,35,8,695.5,587,85,3335,8.9,8.9,32,4.62,30/07/2010 18.52.09
Mio,16,175,175.02,37.9,6,695.7,593,85,3564,8.9,8.9,31,4.65,30/07/2010 18.53.56
Mio,16,176,176,50.5,7,695.6,599,84,4671,8.9,8.9,31,4.68,30/07/2010 18.55.34
Mio,16,177,177.01,22.2,13,695.4,607,83,6628,8.9,8.9,31,4.73,30/07/2010 18.58.33
Mio,16,178,178.01,32.8,12,695.3,618,84,5994,8.9,8.9,31,4.77,30/07/2010 19.00.55
Mio,16,179,179.02,38.4,9,695.6,626,84,4641,8.9,8.9,31,4.8,30/07/2010 19.02.36
Mio,16,180,180.01,25.6,11,695.6,629,84,5301,8.9,8.9,31,4.86,30/07/2010 19.06.02
Mio,16,181,181,17.3,9,696,626,84,4477,8.9,8.9,31,4.95,30/07/2010 19.11.34
Mio,16,182,182.01,17.9,10,696.7,618,84,4968,8.9,8.9,31,5.01,30/07/2010 19.15.31
Mio,16,183,183.01,30.5,9,697.3,620,84,4415,8.9,8.9,31,5.07,30/07/2010 19.19.09
Mio,16,184,184,49.6,7,697.7,620,85,3993,8.9,8.9,31,5.1,30/07/2010 19.20.50
Mio,16,185,185.01,55,6,697.9,620,84,3512,8.9,8.9,30,5.15,30/07/2010 19.23.43
Mio,16,186,186.02,34.5,6,673.6,591,79,3117,8.9,8.9,30,5.2,30/07/2010 21.47.02
Mio,16,187,187.02,57.8,5,489.3,325,100,5378,8.9,8.9,23,5.22,30/07/2010 21.48.11
Mio,16,188,188.03,52.7,5,489.2,327,100,5620,8.9,8.9,23,5.24,30/07/2010 21.49.31
Mio,16,189,189.02,59.6,7,489.1,331,100,5847,8.9,8.9,23,5.26,30/07/2010 21.50.44
Mio,16,190,190.03,51.2,5,489.2,330,87,4188,8.9,8.9,23,5.3,30/07/2010 21.52.54
Mio,16,191,191.02,54.4,5,489.5,330,78,3457,8.9,8.9,23,5.32,30/07/2010 21.54.11
Mio,16,192,192.02,32.8,8,489.1,331,77,4656,8.9,8.9,24,5.36,30/07/2010 21.56.35
Mio,16,193,193.02,54.3,5,489.3,331,77,3909,8.9,8.9,23,5.38,30/07/2010 21.57.46
Mio,16,194,194.02,55.8,6,489.2,332,77,5467,8.9,8.9,24,5.41,30/07/2010 21.59.10
Mio,16,195,195.04,70.3,6,489.2,336,80,1898,8.9,8.9,25,5.43,30/07/2010 22.01.38
Mio,16,196,196.02,68.2,7,489,340,85,2802,8.9,8.9,25,5.45,30/07/2010 22.02.32
Mio,16,197,197.02,54.7,8,489.1,344,85,3330,8.9,8.9,25,5.47,30/07/2010 22.03.48
Mio,16,198,198.01,50.7,7,489,338,85,3174,8.9,8.9,26,5.49,30/07/2010 22.05.11
Mio,16,199,199.02,48,4,489.2,338,85,1035,8.9,8.9,27,5.52,30/07/2010 22.06.37
Mio,16,200,200.02,52,7,489.3,335,85,2817,8.9,8.9,28,5.54,30/07/2010 22.08.04
Mio,16,201,201.02,46.5,8,489.3,344,85,3178,8.9,8.9,27,5.56,30/07/2010 22.09.24
Mio,16,202,202.02,50.9,8,489.2,339,85,2982,8.9,8.9,27,5.59,30/07/2010 22.10.51
Mio,16,203,203,53.5,8,489.2,349,85,2909,8.9,8.9,28,5.61,30/07/2010 22.12.03
Seno carbonate,16,204,204.01,43.2,4,489.1,339,86,1421,8.9,8.9,28,5.65,30/07/2010 22.14.53
Seno carbonate,16,205,205.01,39.9,3,489.1,345,86,1053,8.9,8.9,26,5.69,30/07/2010 22.17.06
Seno carbonate,16,206,206.02,27.1,5,627.5,593,85,1993,8.9,8.9,30,5.84,30/07/2010 22.30.38
Seno carbonate,16,207,207,36.8,8,392,183,82,3410,8.9,8.9,22,5.88,30/07/2010 22.33.03
Seno carbonate,16,208,208.02,29.6,7,392.3,179,83,2335,8.9,8.9,23,5.93,30/07/2010 22.36.10
Seno carbonate,16,209,209.02,50.9,6,392.1,182,83,2656,8.9,8.9,23,5.95,30/07/2010 22.37.32
Seno carbonate,16,210,210.02,49.3,3,392.2,185,83,1431,8.9,8.9,23,5.98,30/07/2010 22.39.00
Seno carbonate,16,211,211.01,54.4,6,392.3,186,83,2355,8.9,8.9,23,6,30/07/2010 22.40.23
Seno carbonate,16,212,212.01,35.4,9,391.9,180,82,3952,8.9,8.9,23,6.04,30/07/2010 22.42.39
Seno carbonate,16,213,213.02,34.4,8,392.4,185,83,2906,8.9,8.9,24,6.1,30/07/2010 22.46.32
Seno carbonate,16,214,214.01,27.3,9,392.6,190,83,2327,8.9,8.9,24,6.15,30/07/2010 22.49.17
Seno carbonate,16,215,215.01,29.9,9,389.5,187,83,2314,8.9,8.9,24,6.21,31/07/2010 00.11.51
Seno carbonate,16,216,216,32,8,371.9,163,83,2555,8.9,8.9,23,6.25,31/07/2010 00.14.03
Seno carbonate,16,217,217,55.8,9,371.8,154,82,3704,8.9,8.9,24,6.27,31/07/2010 00.15.36
Seno carbonate,16,218,218.02,28.8,9,371.7,148,82,3455,8.9,8.9,23,6.32,31/07/2010 00.18.37
Seno carbonate,16,219,219.01,33.2,8,371.7,153,82,2964,8.9,8.9,24,6.36,31/07/2010 00.20.45
Seno carbonate,16,220,220.02,41.9,7,371.8,158,83,2553,8.9,8.9,24,6.39,31/07/2010 00.22.53
Seno carbonate,16,221,221.02,56,7,371.9,161,83,2900,8.9,8.9,24,6.43,31/07/2010 00.24.59
Seno carbonate,16,222,222.01,25.5,9,371.7,167,82,3776,8.9,8.9,24,6.48,31/07/2010 00.28.05
Seno carbonate,16,223,223.01,40.8,5,371.8,174,83,1969,8.9,8.9,23,6.57,31/07/2010 00.33.23
Seno carbonate,16,224,224.01,28.4,7,372.1,179,83,2611,8.9,8.9,23,6.61,31/07/2010 00.35.44
Seno carbonate,16,225,225.01,25.3,8,372.1,182,83,2877,8.9,8.9,23,6.65,31/07/2010 00.38.27
Seno carbonate,16,226,226.01,27.6,8,372.1,186,83,2779,8.9,8.9,23,6.7,31/07/2010 00.40.58
Seno carbonate,16,227,227.02,41.4,8,372.4,189,82,3793,8.9,8.9,23,6.74,31/07/2010 00.43.26
Seno carbonate,16,228,228.02,53.9,4,372.4,189,83,1920,8.9,8.9,23,6.76,31/07/2010 00.45.01
Seno carbonate,16,229,229.02,50.5,4,372.4,192,83,2659,8.9,8.9,23,6.79,31/07/2010 00.46.24
Seno carbonate,16,230,230.02,55.6,4,372.5,191,83,2237,8.9,8.9,24,6.81,31/07/2010 00.47.31
Seno carbonate,16,231,231.01,48,6,372.7,193,83,2956,8.9,8.9,24,6.83,31/07/2010 00.49.01
Seno carbonate,16,232,232,55.3,8,372.8,192,83,2608,8.9,8.9,23,6.87,31/07/2010 00.51.30
Seno carbonate,16,233,233.02,31.3,9,372.8,192,82,4716,8.9,8.9,23,6.91,31/07/2010 00.53.43
Seno carbonate,16,234,234.02,54.7,5,372.9,193,83,2692,8.9,8.9,23,6.93,31/07/2010 00.55.06
Seno carbonate,16,235,235.01,39.9,11,372.9,194,82,4831,8.9,8.9,23,6.99,31/07/2010 00.58.28
Seno carbonate,16,236,236.01,23,13,373,193,84,5279,8.9,8.9,23,7.03,31/07/2010 01.01.11
Seno carbonate,16,237,237.01,30.3,10,373.2,193,85,3398,8.9,8.9,23,7.07,31/07/2010 01.03.27
Seno carbonate,16,238,238.01,39.7,11,373.2,195,85,4550,8.9,8.9,24,7.1,31/07/2010 01.05.04
Seno carbonate,16,239,239.01,32,12,373.3,196,85,4593,8.9,8.9,24,7.13,31/07/2010 01.07.07
Seno carbonate,16,240,240.01,34.8,10,373.2,196,85,4066,8.9,8.9,24,7.16,31/07/2010 01.09.01
Seno carbonate,16,241,241.01,35.8,10,373.3,198,85,4659,8.9,8.9,24,7.19,31/07/2010 01.10.45
Seno carbonate,16,242,242.01,31.9,12,373.4,198,85,4621,8.9,8.9,24,7.23,31/07/2010 01.12.58
Seno carbonate,16,243,243.01,50.7,10,376.4,200,89,3833,8.9,8.9,25,7.26,31/07/2010 02.06.27
Seno carbonate,16,244,244.02,48.3,11,378.5,214,91,4761,8.9,8.9,25,7.29,31/07/2010 02.07.56
Seno carbonate,16,245,245,42.8,9,378.7,216,92,3736,8.9,8.9,25,7.32,31/07/2010 02.09.50
Seno carbonate,16,246,246.01,30.6,9,378.4,222,91,3961,8.9,8.9,25,7.35,31/07/2010 02.12.00
Seno carbonate,16,247,247,28,10,378.5,223,89,3861,8.9,8.9,24,7.39,31/07/2010 02.14.28
Seno carbonate,16,248,248.02,28.7,9,378.3,221,90,3271,8.9,8.9,24,7.44,31/07/2010 02.17.28
Seno carbonate,16,249,249.01,37.8,11,378.2,250,89,5493,8.9,8.9,24,7.48,31/07/2010 02.19.28
Seno carbonate,16,250,250.01,28.9,11,378.5,226,89,5943,8.9,8.9,25,7.52,31/07/2010 02.21.53
Seno carbonate,16,251,251.02,54,9,378.5,214,92,4908,8.9,8.9,25,7.54,31/07/2010 02.23.26
Seno carbonate,16,252,252,51.2,12,378.4,216,89,6502,8.9,8.9,25,7.57,31/07/2010 02.24.54
Seno carbonate,16,253,253.02,43.2,10,378.5,214,91,5096,8.9,8.9,25,7.6,31/07/2010 02.26.50
Seno carbonate,16,254,254,71.9,5,378.6,217,93,3165,8.9,8.9,25,7.62,31/07/2010 02.27.48
Seno carbonate,16,255,255.05,127.5,3,378.5,218,93,2142,8.9,8.9,25,7.63,31/07/2010 02.28.22
Seno carbonate,16,256,256.03,122.3,9,378.3,217,91,6384,8.9,8.9,25,7.64,31/07/2010 02.29.09
Seno carbonate,16,257,256.77,31.6,13,378.8,216,91,6333,8.9,8.9,24,7.66,31/07/2010 02.30.39
Seno carbonate,16,258,258.02,35,10,378.9,212,84,5167,8.9,8.9,24,7.72,31/07/2010 03.08.31
Seno carbonate,16,259,259.02,71.9,6,378.7,214,85,2723,8.9,8.9,24,7.75,31/07/2010 03.10.04
Seno carbonate,16,260,260.02,65,6,378.7,217,85,3671,8.9,8.9,24,7.77,31/07/2010 03.11.35
Seno carbonate,16,261,261.03,63.3,3,378.8,219,86,1819,8.9,8.9,24,7.79,31/07/2010 03.12.36
Seno carbonate,16,262,262.03,68.9,2,378.9,226,86,1472,8.9,8.9,24,7.8,31/07/2010 03.13.30
Seno carbonate,16,263,263.03,75.8,4,379,226,85,2706,8.9,8.9,24,7.82,31/07/2010 03.14.22
Seno carbonate,16,264,264.03,78,7,379,223,84,3981,8.9,8.9,24,7.83,31/07/2010 03.15.21
Seno carbonate,16,265,265.03,70.6,7,378.9,227,84,4942,8.9,8.9,23,7.85,31/07/2010 03.16.14
