Formation,TMD (m),TVD (m),ROP (m/hr),WOB (ton),FR (gpm),SPP (psi),RPM (rpm),TQ (lb.ft),MW IN (ppg),MW OUT (ppg),RETURN (%),BIT TIME (hr),DATE TIME
Albi,1195,1194.93,152,8,844.6,2939,161,10681,11,10.9,64,16.53,20/06/2010 12.51.15
Albi,1196,1195.91,154,7,844.9,2946,160,10087,11,10.9,64,16.54,20/06/2010 12.51.39
Albi,1197,1196.94,138.9,6,839.2,2920,160,10716,11,10.9,64,16.55,20/06/2010 12.52.06
Albi,1198,1197.93,145.9,6,829.8,2864,160,10076,11,10.9,63,16.55,20/06/2010 12.52.31
Albi,1199,1198.89,161.9,6,808.8,2722,161,9726,11,10.9,63,16.56,20/06/2010 12.52.54
Albi,1200,1199.93,156.9,6,816.3,2757,160,10196,11,10.9,62,16.56,20/06/2010 12.53.17
Albi,1201,1200.9,162.6,6,812.1,2740,160,9843,11,10.9,62,16.57,20/06/2010 12.53.40
Albi,1202,1201.94,158.2,7,812.5,2741,160,10267,11,10.9,63,16.58,20/06/2010 12.54.03
Albi,1203,1202.91,154.2,7,813.5,2742,160,10826,11,10.9,63,16.58,20/06/2010 12.54.26
Albi,1204,1203.91,152.1,6,811.6,2740,161,9916,11,10.9,62,16.59,20/06/2010 12.54.51
Albi,1205,1204.92,141.3,7,814,2748,160,10017,11,10.9,62,16.6,20/06/2010 12.55.18
Albi,1206,1205.93,137.2,7,818.9,2761,160,9796,11,10.9,63,16.61,20/06/2010 12.55.45
Albi,1207,1206.93,142.4,5,813.2,2748,161,8499,11,10.9,62,16.61,20/06/2010 12.56.11
Albi,1208,1207.87,138.8,6,814,2748,161,9687,11,10.9,63,16.62,20/06/2010 12.56.37
Albi,1209,1208.91,135.9,5,813.5,2746,162,7235,11,10.9,62,16.63,20/06/2010 12.57.10
Albi,1210,1209.93,133,6,814.6,2752,160,9261,11,10.9,62,16.64,20/06/2010 12.57.38
Albi,1211,1210.93,132.6,6,813.9,2750,160,9620,11,10.9,63,16.65,20/06/2010 12.58.06
Albi,1212,1211.93,132.9,5,813.7,2748,161,8777,11,10.9,63,16.65,20/06/2010 12.58.34
Albi,1213,1212.89,122,4,814,2745,162,6394,11,10.9,63,16.66,20/06/2010 12.59.05
Albi,1214,1213.88,113.2,2,824.1,2805,105,2587,11,10.9,63,16.68,20/06/2010 13.33.52
Albi,1215,1214.91,128.3,2,837.4,2900,151,3105,11,10.9,62,16.7,20/06/2010 13.34.34
Albi,1216,1215.9,137,3,832.7,2871,139,4710,11,10.9,63,16.71,20/06/2010 13.38.03
Albi,1217,1216.91,132.8,4,810,2724,155,9011,11,10.9,61,16.72,20/06/2010 13.38.31
Albi,1218,1217.9,126,5,812.6,2737,155,11476,11,10.9,62,16.73,20/06/2010 13.39.00
Albi,1219,1218.9,137.3,5,810.1,2734,157,10018,11,10.9,61,16.73,20/06/2010 13.39.29
Albi,1220,1219.92,140.9,4,810,2732,156,9609,11,10.9,62,16.74,20/06/2010 13.39.55
Albi,1221,1220.9,147.7,4,810.2,2733,156,8440,11,10.9,61,16.75,20/06/2010 13.40.20
Albi,1222,1221.94,144.2,3,811.8,2744,159,6465,11,10.9,62,16.76,20/06/2010 13.40.58
Albi,1223,1222.9,145.6,4,808.4,2730,156,10556,11,10.9,61,16.77,20/06/2010 13.41.23
Albi,1224,1223.93,145.3,4,812,2752,156,9055,11,10.9,61,16.77,20/06/2010 13.41.48
Albi,1225,1224.88,142.3,2,811.3,2751,134,13506,11,10.9,62,16.81,20/06/2010 13.45.08
Albi,1226,1225.89,32,1,813.1,2769,130,16648,11,10.9,62,16.84,20/06/2010 13.52.48
Albi,1227,1226.87,35.4,4,811.3,2754,143,19822,11,10.9,63,16.92,20/06/2010 14.03.44
Albi,1228,1227.86,22.9,6,811.2,2752,131,16559,11,10.9,62,16.98,20/06/2010 14.07.10
Albi,1229,1228.87,24.2,6,762.1,2465,110,14828,11,10.9,60,17.04,20/06/2010 14.11.07
Albi,1230,1229.62,26.3,5,785,2595,98,16664,11,10.9,61,17.09,20/06/2010 14.14.03
Albi,1231,1230.87,52.6,8,812.6,2780,87,13520,11,10.9,63,17.16,20/06/2010 14.53.35
Albi,1232,1231.88,51,7,812.3,2777,86,12333,11,10.9,62,17.18,20/06/2010 14.54.53
Albi,1233,1232.86,41.2,7,813.1,2786,105,13990,11,10.9,62,17.2,20/06/2010 14.56.24
Albi,1234,1233.87,46,9,812.8,2783,110,15966,11,10.9,62,17.23,20/06/2010 14.57.57
Albi,1235,1234.87,45.2,9,812.4,2781,112,15081,11,10.9,62,17.26,20/06/2010 14.59.33
Albi,1236,1235.87,46.6,9,811.9,2780,113,16716,11,10.9,63,17.29,20/06/2010 15.01.17
Albi,1237,1236.87,54.9,9,814,2797,102,15024,11,10.9,63,17.31,20/06/2010 15.02.35
Albi,1238,1237.88,64.3,9,813.7,2795,102,13777,11,10.9,63,17.33,20/06/2010 15.03.56
Albi,1239,1238.89,64.4,9,813.1,2797,102,15347,11,10.9,62,17.35,20/06/2010 15.04.57
Albi,1240,1239.88,54.5,8,813.6,2799,103,12851,11,10.9,63,17.37,20/06/2010 15.06.17
Albi,1241,1240.87,46.2,8,813.3,2800,100,12706,11,10.9,63,17.4,20/06/2010 15.08.03
Albi,1242,1241.87,60.2,5,804.3,2743,117,6177,11,10.9,62,17.42,20/06/2010 15.28.19
Albi,1243,1242.88,88,4,815.3,2759,141,5538,11,10.9,62,17.44,20/06/2010 15.29.10
Albi,1244,1243.87,89.9,5,819.2,2787,101,14878,11,10.9,62,17.49,20/06/2010 15.36.03
Albi,1245,1244.87,56.4,6,820.9,2791,78,16958,11,10.9,62,17.53,20/06/2010 15.38.16
Albi,1246,1245.14,47.6,7,822.2,2786,79,10894,11,10.9,63,17.53,20/06/2010 15.38.35
Albi,1247,1246.88,69.5,5,817.9,2771,82,16142,11,10.9,62,17.58,20/06/2010 15.52.04
Albi,1248,1247.88,50.3,6,818,2853,83,17960,11,10.9,62,17.61,20/06/2010 15.53.56
Albi,1249,1248.86,61.8,7,817.1,2859,82,15673,11,10.9,63,17.63,20/06/2010 15.54.38
Albi,1250,1249.88,89.6,8,819.3,2861,83,12217,11,10.9,63,17.64,20/06/2010 15.55.48
Albi,1251,1250.89,41.1,7,817.6,2868,84,10303,11,10.9,62,17.67,20/06/2010 15.57.04
Albi,1252,1251.92,71,6,822.9,2876,84,10303,11,10.9,63,17.68,20/06/2010 15.57.51
Albi,1253,1252.88,80.1,6,816.1,2866,83,11477,11,10.9,62,17.69,20/06/2010 15.58.30
Albi,1254,1253.87,82.2,8,818.5,2883,83,14109,11,10.9,63,17.7,20/06/2010 15.59.07
Albi,1255,1254.94,107.2,9,819.1,2887,92,16040,11,10.9,63,17.71,20/06/2010 15.59.42
Albi,1256,1255.89,94.1,10,818.8,2889,92,16082,11,10.9,63,17.72,20/06/2010 16.00.22
Albi,1257,1256.85,88.3,10,815.7,2886,92,16221,11,10.9,64,17.73,20/06/2010 16.01.04
Albi,1258,1257.87,84,9,820.6,2903,92,13305,11,10.9,63,17.75,20/06/2010 16.02.21
Albi,1259,1258.87,74.1,9,821.1,2918,93,14305,11,10.9,63,17.77,20/06/2010 16.03.23
Albi,1260,1259.89,66.2,9,819.7,2916,92,15518,11,10.9,63,17.79,20/06/2010 16.04.24
Albi,1261,1260.9,76.6,8,820.8,2911,93,13105,11,10.9,63,17.81,20/06/2010 16.05.34
Albi,1262,1261.87,69.2,9,822.6,2915,93,13645,11,10.9,63,17.82,20/06/2010 16.06.28
Albi,1263,1262.88,55.2,8,820,2912,93,12238,11,10.9,63,17.85,20/06/2010 16.07.48
Albi,1264,1263.86,54.3,9,838.6,2930,93,11966,11,10.9,63,17.88,20/06/2010 16.14.49
Albi,1265,1264.9,68.7,9,828.1,2935,107,13396,11,10.9,63,17.91,20/06/2010 16.16.06
Albi,1266,1265.93,71,8,830.1,2955,107,15445,11,10.9,63,17.92,20/06/2010 16.16.43
Albi,1267,1266.88,74.6,8,827.7,2946,106,16805,11,10.9,63,17.93,20/06/2010 16.17.20
Albi,1268,1267.93,71,8,829.3,2960,106,17081,11,10.9,63,17.94,20/06/2010 16.18.01
Albi,1269,1268.93,91,8,830.7,2968,106,17881,11,10.9,63,17.95,20/06/2010 16.18.33
Albi,1270,1269.95,101,10,826.7,2957,106,19369,11,10.9,63,17.95,20/06/2010 16.19.04
Albi,1271,1270.9,102.1,10,828.4,2973,106,19253,11,10.9,63,17.96,20/06/2010 16.19.38
Albi,1272,1271.94,112,9,830.6,2985,107,15258,11,10.9,63,17.97,20/06/2010 16.20.14
Apti,1273,1272.9,104.5,8,829.6,2977,108,9461,11,10.9,63,17.98,20/06/2010 16.20.44
Apti,1274,1273.88,91.2,7,827.3,2968,100,6304,11,10.9,63,18.01,20/06/2010 16.47.32
Apti,1275,1274.89,58.6,5,823.6,2932,135,5334,11,10.9,62,18.03,20/06/2010 16.49.00
Apti,1276,1275.9,67.3,7,813,2874,151,8489,11,10.9,62,18.04,20/06/2010 16.49.42
Apti,1277,1276.87,62,9,808.4,2841,150,10195,11,10.9,62,18.06,20/06/2010 16.51.04
Apti,1278,1277.87,75.4,10,822.4,2923,143,9398,11,10.9,62,18.09,20/06/2010 16.52.45
Apti,1279,1278.92,84.5,10,826,2940,146,13359,11,10.9,63,18.11,20/06/2010 16.53.34
Apti,1280,1279.86,73.6,11,823.5,2939,146,13455,11,10.9,62,18.12,20/06/2010 16.54.17
Apti,1281,1280.88,53.2,12,826.9,2949,150,14315,11,10.9,62,18.13,20/06/2010 16.55.03
Apti,1282,1281.87,38,12,826.4,2951,151,11827,11,10.9,62,18.15,20/06/2010 16.55.57
Apti,1283,1282.86,25.8,11,825.4,2945,151,9966,11,10.9,62,18.19,20/06/2010 16.58.29
Apti,1284,1283.87,51.7,11,876,2936,150,13274,11,10.9,63,18.21,20/06/2010 16.59.53
Apti,1285,1284.87,35.8,11,825.1,2945,151,11001,11,10.9,63,18.25,20/06/2010 17.02.05
Apti,1286,1285.85,32.5,11,826.4,2954,151,11035,11,10.9,63,18.28,20/06/2010 17.04.14
Apti,1287,1286.85,26.7,11,825.9,2951,152,10270,11,10.9,63,18.32,20/06/2010 17.06.40
Apti,1288,1287.86,31.7,11,826.6,2956,151,11354,11,10.9,62,18.36,20/06/2010 17.08.49
Apti,1289,1288.86,27.2,12,826.8,2962,152,12059,11,10.9,62,18.4,20/06/2010 17.11.14
Apti,1290,1289.86,24.8,12,838.7,2967,154,11556,11,10.9,62,18.44,20/06/2010 17.13.40
Apti,1291,1290.85,24.2,13,840.5,2972,151,11446,11,10.9,63,18.48,20/06/2010 17.16.12
Apti,1292,1291.86,24.9,12,827.5,2968,151,11518,11,10.9,63,18.52,20/06/2010 17.18.42
Apti,1293,1292.86,26.3,13,827.5,2970,152,11527,11,10.9,63,18.57,20/06/2010 17.21.10
Apti,1294,1293.86,26.3,13,828.2,2975,152,12014,11,10.9,63,18.6,20/06/2010 17.23.32
Apti,1295,1294.86,24.8,12,826.5,2964,152,11133,11,10.9,63,18.65,20/06/2010 17.26.02
Apti,1296,1295.86,22.5,13,827.9,2971,152,11324,11,10.9,63,18.69,20/06/2010 17.28.45
Apti,1297,1296.86,51.7,11,827.1,2965,152,12933,11,10.9,63,18.72,20/06/2010 17.30.21
Apti,1298,1297.85,50.2,13,829.5,2982,152,14509,11,10.9,63,18.74,20/06/2010 17.31.49
Apti,1299,1298.85,30,13,844.3,2975,152,11648,11,10.9,63,18.78,20/06/2010 17.34.19
Apti,1300,1299.86,34.7,12,842.3,2994,152,11499,11,10.9,63,18.83,20/06/2010 17.36.49
Apti,1301,1300.86,73.2,10,831.4,2993,152,12522,11,10.9,62,18.85,20/06/2010 17.38.02
Apti,1302,1301.86,50,11,830.5,2992,154,13768,11,10.9,63,18.87,20/06/2010 17.39.17
Apti,1303,1302.86,50.5,11,831.6,3000,154,12374,11,10.9,63,18.89,20/06/2010 17.40.48
Apti,1304,1303.86,35.9,5,832.1,3003,154,5244,11,10.9,63,18.92,20/06/2010 17.42.38
Apti,1305,1304.85,32.5,6,836.9,2975,144,7037,11,10.9,63,18.97,20/06/2010 18.01.31
Apti,1306,1305.85,54.6,9,827.1,2986,155,10088,11,10.9,63,18.99,20/06/2010 18.03.11
Apti,1307,1306.85,66.1,5,826.8,2985,159,6696,11,10.9,63,19.01,20/06/2010 18.04.23
Apti,1308,1307.86,68.1,6,827,2983,159,8072,11,10.9,63,19.03,20/06/2010 18.05.21
Barre,1309,1308.87,80,5,828.9,2997,163,6403,11,10.9,62,19.05,20/06/2010 18.06.23
Barre,1310,1309.9,126.2,5,828.3,2995,162,7212,11,10.9,62,19.06,20/06/2010 18.06.55
Barre,1311,1310.92,126.3,6,828.9,3008,158,9931,11,10.9,62,19.06,20/06/2010 18.07.25
Barre,1312,1311.9,129.9,6,828.6,2997,159,8156,11,10.9,63,19.07,20/06/2010 18.07.53
Barre,1313,1312.91,131.4,7,829.4,3010,158,9548,11,10.9,63,19.08,20/06/2010 18.08.21
Barre,1314,1313.88,133.2,7,830.3,3021,159,9447,11,10.9,63,19.09,20/06/2010 18.08.49
Barre,1315,1314.9,122.9,7,827.9,3006,158,10223,11,10.9,63,19.1,20/06/2010 18.09.20
Barre,1316,1315.9,125.3,7,830,3017,158,11002,11,10.9,63,19.1,20/06/2010 18.09.50
Barre,1317,1316.91,127,8,829.6,3025,158,11854,11,10.9,63,19.11,20/06/2010 18.10.19
Barre,1318,1317.89,133.6,7,828.8,3020,158,10703,11,10.9,63,19.12,20/06/2010 18.10.46
Barre,1319,1318.92,130.1,8,829.6,3022,158,11170,11,10.9,63,19.13,20/06/2010 18.11.15
Barre,1320,1319.9,135.4,8,828,3016,158,11039,11,10.9,63,19.14,20/06/2010 18.11.42
Barre,1321,1320.87,146.5,7,831.8,3034,159,8862,11,10.9,63,19.14,20/06/2010 18.12.08
Barre,1322,1321.89,150.3,5,829.7,3022,159,7392,11,10.9,63,19.15,20/06/2010 18.12.32
Barre,1323,1322.89,138.5,6,830.3,3029,159,8060,11,10.9,63,19.16,20/06/2010 18.12.59
Barre,1324,1323.9,127.8,5,829,3019,160,6944,11,10.9,63,19.16,20/06/2010 18.13.28
Barre,1325,1324.9,128,5,830.4,3026,160,6820,11,10.9,63,19.17,20/06/2010 18.13.57
Barre,1326,1325.87,95.5,5,829.2,3021,160,6360,11,10.9,63,19.19,20/06/2010 18.14.44
Barre,1327,1326.88,104.4,5,830.6,3026,159,8163,11,10.9,63,19.2,20/06/2010 18.15.21
Barre,1328,1327.9,110.3,5,836.5,3029,158,9714,11,10.9,63,19.21,20/06/2010 18.15.55
Barre,1329,1328.85,110.5,5,829.6,3020,159,9066,11,10.9,62,19.22,20/06/2010 18.16.29
Barre,1330,1329.86,56.2,4,831,3035,142,10389,11,10.9,63,19.24,20/06/2010 18.17.56
Barre,1331,1330.88,78.4,4,831.2,3033,163,4800,11,10.9,63,19.25,20/06/2010 18.18.45
Barre,1332,1331.88,83.7,4,831.2,3032,161,7000,11,10.9,63,19.27,20/06/2010 18.19.29
Barre,1333,1332.87,88.1,3,826.2,3018,152,4222,11,10.9,62,19.28,20/06/2010 18.35.52
Barre,1334,1333.9,110.3,3,818.2,2983,156,6826,11,10.9,62,19.29,20/06/2010 18.36.27
Barre,1335,1334.91,133.5,4,818.2,2981,157,7320,11,10.9,62,19.3,20/06/2010 18.36.57
Barre,1336,1335.88,141.5,5,819,2989,156,8760,11,10.9,62,19.31,20/06/2010 18.37.22
Barre,1337,1336.9,145.4,6,819.1,2999,155,10529,11,10.9,62,19.32,20/06/2010 18.37.48
Barre,1338,1337.9,143.4,7,819.1,2993,157,10637,11,10.9,62,19.32,20/06/2010 18.38.14
Barre,1339,1338.92,142.7,6,820.1,3002,158,10253,11,10.9,62,19.33,20/06/2010 18.38.40
Barre,1340,1339.88,149.5,6,815.6,2980,158,10317,11,10.9,62,19.34,20/06/2010 18.39.04
Barre,1341,1340.9,148,5,820.6,3001,158,11257,11,10.9,62,19.34,20/06/2010 18.39.29
Barre,1342,1341.88,77.3,4,819.4,3003,113,10484,11,10.9,62,19.38,20/06/2010 18.41.26
Barre,1343,1342.86,56.4,4,818.6,2991,130,14063,11,10.9,62,19.41,20/06/2010 18.43.39
Barre,1344,1343.87,59.3,3,819,2984,160,5636,11,10.9,62,19.43,20/06/2010 18.44.52
Barre,1345,1344.87,87.4,4,819.4,2986,160,4723,11,10.9,62,19.45,20/06/2010 18.45.41
Barre,1346,1345.89,104.8,3,819.5,2986,160,5385,11,10.9,63,19.46,20/06/2010 18.46.21
Barre,1347,1346.86,106.5,4,821,2993,159,7814,11,10.9,62,19.47,20/06/2010 18.46.56
Barre,1348,1347.87,103.5,4,819.6,2987,159,6370,11,10.9,63,19.48,20/06/2010 18.47.32
Barre,1349,1348.89,104.9,5,821.6,2999,160,7053,11,10.9,63,19.49,20/06/2010 18.48.09
Barre,1350,1349.88,120.1,3,821.1,2989,160,4560,11,10.9,62,19.5,20/06/2010 18.48.40
Barre,1351,1350.89,124.1,3,820.3,2990,160,5831,11,10.9,62,19.51,20/06/2010 18.49.12
Barre,1352,1351.85,105.5,2,819.8,2993,120,5431,11,10.9,62,19.54,20/06/2010 18.51.16
Barre,1353,1352.85,46.1,2,799.5,2864,138,1869,11,10.9,62,19.58,20/06/2010 18.53.39
Barre,1354,1353.87,103.9,3,755.4,2573,152,4508,11,10.9,59,19.59,20/06/2010 18.54.26
Barre,1355,1354.88,102.8,5,756.2,2582,152,8142,11,10.9,60,19.6,20/06/2010 18.55.04
Barre,1356,1355.87,100.6,4,754.9,2577,153,5802,11,10.9,60,19.61,20/06/2010 18.55.40
Barre,1357,1356.87,102.1,3,756.5,2584,152,5294,11,10.9,60,19.62,20/06/2010 18.56.16
Barre,1358,1357.87,105.3,4,755.8,2585,150,7569,11,10.9,60,19.63,20/06/2010 18.56.51
Barre,1359,1358.87,106,3,755.6,2582,151,8178,11,10.9,60,19.64,20/06/2010 18.57.27
Barre,1360,1359.85,34.6,2,755.6,2589,131,2893,11,10.9,59,19.68,20/06/2010 19.05.21
Barre,1361,1360.87,50.7,2,775.3,2723,129,2900,11,10.9,60,19.71,20/06/2010 19.45.00
Barre,1362,1361.89,118,4,820.9,3033,147,6413,11,10.9,62,19.73,20/06/2010 19.45.40
Barre,1363,1362.9,125.9,4,820.4,3022,162,7018,11,10.9,62,19.74,20/06/2010 19.46.17
Barre,1364,1363.91,153.2,4,819.6,3022,161,10276,11,10.9,62,19.74,20/06/2010 19.46.42
Barre,1365,1364.88,144.5,5,822.8,3042,161,12631,11,10.9,62,19.75,20/06/2010 19.47.07
Barre,1366,1365.87,134.9,5,822.3,3043,147,14106,11,10.9,62,19.76,20/06/2010 19.55.08
Barre,1367,1366.87,95.1,3,824,3047,147,8636,11,10.9,62,19.79,20/06/2010 19.56.32
Barre,1368,1367.89,119.6,4,822.5,3039,154,9295,11,10.9,62,19.8,20/06/2010 19.57.05
Barre,1369,1368.86,110,3,824.6,3047,159,9592,11,10.9,62,19.81,20/06/2010 19.57.55
Barre,1370,1369.85,65.3,3,824.4,3055,151,9374,11,10.9,62,19.84,20/06/2010 19.59.54
Barre,1371,1370.85,34.1,4,823.4,3041,159,13872,11,10.9,62,19.88,20/06/2010 20.01.51
Barre,1372,1371.85,60.1,3,823.6,3048,159,13615,11,10.9,62,19.9,20/06/2010 20.03.30
Barre,1373,1372.85,39.3,4,823.7,3053,133,13260,11,10.9,62,19.94,20/06/2010 20.05.29
Barre,1374,1373.85,43,5,823.6,3057,119,12737,11,10.9,62,19.96,20/06/2010 20.07.05
Barre,1375,1374.84,50.1,5,823,3050,119,13477,11,10.9,62,19.99,20/06/2010 20.08.32
Barre,1376,1375.85,59.6,5,855,3062,118,14056,11,10.9,62,20.01,20/06/2010 20.09.38
Barre,1377,1376.85,46.2,4,824.3,3062,119,11191,11,10.9,62,20.03,20/06/2010 20.10.59
Barre,1378,1377.86,60.1,4,825.5,3063,119,11065,11,10.9,62,20.05,20/06/2010 20.12.06
Barre,1379,1378.87,85.6,4,823.6,3056,120,9996,11,10.9,62,20.06,20/06/2010 20.12.56
Barre,1380,1379.86,94,4,823.6,3060,120,7397,11,10.9,62,20.07,20/06/2010 20.13.35
Barre,1381,1380.85,96.9,4,822.2,3053,121,5460,11,10.9,62,20.09,20/06/2010 20.14.40
Barre,1382,1381.88,91.2,5,824.8,3067,120,7232,11,10.9,63,20.1,20/06/2010 20.15.24
Barre,1383,1382.87,98.7,4,824.5,3060,136,5470,11,10.9,62,20.11,20/06/2010 20.16.01
Barre,1384,1383.86,92.4,4,825.3,3060,154,6441,11,10.9,63,20.13,20/06/2010 20.17.17
Barre,1385,1384.86,82.2,4,824.3,3053,155,5116,11,10.9,62,20.15,20/06/2010 20.18.05
Barre,1386,1385.88,86.9,4,824.9,3061,154,5252,11,10.9,62,20.16,20/06/2010 20.18.48
Barre,1387,1386.87,99,4,823.9,3051,154,5968,11,10.9,62,20.17,20/06/2010 20.19.27
Barre,1388,1387.86,91.8,5,824,3058,154,6605,11,10.9,62,20.18,20/06/2010 20.20.09
Barre,1389,1388.87,86.8,5,824.5,3057,154,6590,11,10.9,62,20.19,20/06/2010 20.20.53
Barre,1390,1389.88,72.7,3,784.3,2809,106,4058,11,10.9,61,20.21,20/06/2010 20.40.21
Barre,1391,1390.87,55.2,5,776.3,2761,138,7956,11,10.9,60,20.24,20/06/2010 20.41.33
Barre,1392,1391.86,80,5,776.1,2762,151,8189,11,10.9,60,20.25,20/06/2010 20.42.20
Barre,1393,1392.86,87.7,5,776.8,2764,154,9113,11,10.9,60,20.26,20/06/2010 20.43.06
Barre,1394,1393.88,90.6,6,776.1,2755,152,8957,11,10.9,60,20.27,20/06/2010 20.43.59
Barre,1395,1394.86,99.5,5,778,2760,151,8313,11,10.9,60,20.28,20/06/2010 20.44.36
Barre,1396,1395.88,120.9,6,776.3,2755,151,8491,11,10.9,60,20.29,20/06/2010 20.45.10
Barre,1397,1396.86,107.6,6,776.8,2755,151,9982,11,10.9,60,20.3,20/06/2010 20.45.44
Barre,1398,1397.87,116,7,776,2753,152,10930,11,10.9,60,20.31,20/06/2010 20.46.18
Barre,1399,1398.89,109,7,777.3,2764,151,10313,11,10.9,60,20.33,20/06/2010 20.46.57
Barre,1400,1399.89,105.3,6,777.3,2764,151,9519,11,10.9,60,20.33,20/06/2010 20.47.32
Barre,1401,1400.86,107.2,7,778.9,2773,151,10525,11,10.9,61,20.34,20/06/2010 20.48.14
Barre,1402,1401.85,107.3,5,777.1,2761,152,8110,11,10.9,60,20.36,20/06/2010 20.48.56
Barre,1403,1402.88,94.6,6,777.1,2766,152,9048,11,10.9,61,20.37,20/06/2010 20.49.42
Barre,1404,1403.87,145.4,6,778.1,2769,152,9342,11,10.9,61,20.38,20/06/2010 20.50.20
Barre,1405,1404.88,107.2,7,777.7,2772,151,9152,11,10.9,61,20.39,20/06/2010 20.50.56
Barre,1406,1405.87,128.3,6,778.4,2773,151,10104,11,10.9,61,20.4,20/06/2010 20.51.26
Barre,1407,1406.88,131.2,6,775.4,2760,151,11116,11,10.9,61,20.41,20/06/2010 20.51.55
Barre,1408,1407.89,124.6,5,778.9,2779,150,11764,11,10.9,61,20.42,20/06/2010 20.52.25
Barre,1409,1408.88,145.3,5,775.8,2764,151,12067,11,10.9,61,20.42,20/06/2010 20.52.53
Barre,1410,1409.87,151,6,775.4,2764,150,12852,11,10.9,61,20.43,20/06/2010 20.53.21
Barre,1411,1410.86,118,6,776.7,2770,150,12580,11,10.9,61,20.44,20/06/2010 20.53.52
Barre,1412,1411.85,114.7,4,778.8,2778,135,9351,11,10.9,61,20.47,20/06/2010 21.02.04
Barre,1413,1412.83,14.5,1,778.5,2755,134,2555,11,10.9,61,20.56,20/06/2010 21.45.21
Barre,1414,1413.84,31.8,4,779.5,2758,138,2593,11,10.9,61,20.61,20/06/2010 21.47.58
Barre,1415,1414.84,34.6,5,778.7,2755,137,3587,11,10.9,61,20.64,20/06/2010 21.50.08
Barre,1416,1415.84,34.5,4,778.1,2752,138,3326,11,10.9,61,20.68,20/06/2010 21.52.01
Barre,1417,1416.84,24.7,5,778.6,2754,138,3545,11,10.9,61,20.72,20/06/2010 21.54.32
Barre,1418,1417.84,29.9,4,778.6,2756,138,3290,11,10.9,61,20.76,20/06/2010 21.57.17
Barre,1419,1418.94,79.8,3,772.2,2729,141,2462,11,10.9,60,20.79,20/06/2010 22.22.46
Barre,1420,1419.93,64.3,4,769.9,2722,154,4813,11,10.9,60,20.81,20/06/2010 22.23.42
Barre,1421,1420.91,56.8,5,771.3,2734,153,5572,11,10.9,60,20.83,20/06/2010 22.24.49
Barre,1422,1421.94,63.4,5,771.5,2735,154,5244,11,10.9,60,20.84,20/06/2010 22.25.51
Barre,1423,1422.94,64.3,5,771.1,2730,154,5247,11,10.9,60,20.86,20/06/2010 22.26.51
Barre,1424,1423.94,64.3,5,771,2726,154,5388,11,10.9,60,20.88,20/06/2010 22.27.51
Barre,1425,1424.94,54.7,6,772.3,2734,154,5819,11,10.9,60,20.9,20/06/2010 22.29.00
Barre,1426,1425.94,53.1,6,771.6,2728,154,6010,11,10.9,60,20.91,20/06/2010 22.30.12
Barre,1427,1426.91,60.2,6,772.1,2726,154,6533,11,10.9,60,20.93,20/06/2010 22.31.17
Barre,1428,1427.91,44.9,5,771,2724,154,4417,11,10.9,60,20.96,20/06/2010 22.32.47
Barre,1429,1428.92,47.3,5,772.1,2726,155,4463,11,10.9,61,20.98,20/06/2010 22.34.20
Barre,1430,1429.93,47,5,770.8,2719,155,4724,11,10.9,61,21.01,20/06/2010 22.35.56
Barre,1431,1430.93,49.6,5,771.7,2723,154,4704,11,10.9,61,21.03,20/06/2010 22.37.13
Barre,1432,1431.93,41.4,5,771.9,2723,154,4722,11,10.9,61,21.06,20/06/2010 22.38.47
Barre,1433,1432.93,49.3,4,771.1,2718,155,4156,11,10.9,61,21.08,20/06/2010 22.40.04
Barre,1434,1433.94,49.5,4,772.5,2725,155,4117,11,10.9,60,21.1,20/06/2010 22.41.23
Barre,1435,1434.93,49.9,5,771.9,2725,155,4307,11,10.9,60,21.12,20/06/2010 22.42.46
Barre,1436,1435.93,49.6,5,771.7,2722,155,4378,11,10.9,60,21.15,20/06/2010 22.44.04
Barre,1437,1436.93,51.1,4,771.6,2724,155,3769,11,10.9,60,21.17,20/06/2010 22.45.29
Barre,1438,1437.92,56.1,4,771,2717,155,4064,11,10.9,60,21.19,20/06/2010 22.46.34
Barre,1439,1438.92,54.7,4,772.3,2725,155,4366,11,10.9,60,21.21,20/06/2010 22.47.46
Barre,1440,1439.94,55.8,5,771.8,2716,155,4485,11,10.9,60,21.23,20/06/2010 22.48.56
Barre,1441,1440.93,50.5,4,772.1,2708,155,4207,11,10.9,60,21.25,20/06/2010 22.50.11
Barre,1442,1441.93,53.5,5,771.4,2680,155,4546,11,10.9,60,21.27,20/06/2010 22.51.24
Barre,1443,1442.93,52,4,772.4,2594,155,3816,11,10.9,59,21.29,20/06/2010 22.52.56
Barre,1444,1443.93,48.9,4,777.3,2778,154,3091,11,10.9,61,21.32,20/06/2010 23.07.28
Barre,1445,1444.93,62.2,5,777.7,2789,155,4310,11,10.9,62,21.34,20/06/2010 23.08.35
Barre,1446,1445.93,59.8,5,778,2788,155,4316,11,10.9,62,21.36,20/06/2010 23.09.45
Barre,1447,1446.92,50.2,5,778.2,2789,155,4715,11,10.9,62,21.38,20/06/2010 23.11.02
Barre,1448,1447.92,49.2,5,779.5,2794,155,5102,11,10.9,61,21.4,20/06/2010 23.12.19
Barre,1449,1448.94,52.2,3,774.5,2775,138,3508,11,10.9,61,21.43,20/06/2010 23.28.52
